ROUTE                                admin            sales            project_manager  operations      
--------------------------------------------------------------------------------------------------------
/admin/dashboard                     open             ----             ----             ----
/admin/dashboard/accounts            open             ----             ----             ----
/admin/dashboard/activity            open             ----             ----             ----
/admin/dashboard/availability        open             ----             open             ----
/admin/dashboard/business            open             ----             ----             ----
/admin/dashboard/clients             open             open             open             open
/admin/dashboard/delivery            open             ----             open             ----
/admin/dashboard/departments         open             ----             ----             ----
/admin/dashboard/due-payments        open             ----             ----             ----
/admin/dashboard/exchange            open             ----             ----             ----
/admin/dashboard/expenses            open             ----             ----             ----
/admin/dashboard/finance-config      open             ----             ----             ----
/admin/dashboard/invoices            open             open             ----             ----
/admin/dashboard/leads               open             open             ----             ----
/admin/dashboard/leave-calendar      open             ----             open             ----
/admin/dashboard/leave-settings      open             ----             ----             ----
/admin/dashboard/loans               open             ----             ----             ----
/admin/dashboard/notifications       open             ----             ----             ----
/admin/dashboard/payments            open             ----             ----             ----
/admin/dashboard/payouts             open             ----             ----             ----
/admin/dashboard/payroll             open             ----             ----             ----
/admin/dashboard/permissions         open             ----             ----             ----
/admin/dashboard/project-settings    open             ----             open             ----
/admin/dashboard/projects            open             open             open             open
/admin/dashboard/reports             open             ----             ----             ----
/admin/dashboard/reports/clients     open             open             ----             ----
/admin/dashboard/reports/finance     open             ----             ----             ----
/admin/dashboard/reports/projects    open             ----             open             ----
/admin/dashboard/reports/sales       open             open             ----             ----
/admin/dashboard/reports/tasks       open             ----             open             ----
/admin/dashboard/reports/team        open             ----             open             ----
/admin/dashboard/sales               open             open             ----             ----
/admin/dashboard/security            open             ----             ----             ----
/admin/dashboard/services            open             open             open             ----
/admin/dashboard/services/categories open             open             open             ----
/admin/dashboard/services/templates  open             open             open             ----
/admin/dashboard/shareholders        open             ----             ----             ----
/admin/dashboard/targets             open             ----             ----             ----
/admin/dashboard/tasks               open             open             open             open
/admin/dashboard/team-directory      open             open             open             open
/admin/dashboard/team-management     open             ----             ----             ----
/admin/dashboard/time-approvals      open             ----             open             ----
/admin/dashboard/transactions        open             ----             ----             ----
/admin/dashboard/vault               open             open             open             ----
/admin/dashboard/withdrawals         open             ----             ----             ----
/admin/dashboard/workflow            open             ----             open             ----
/admin/dashboard/workload            open             ----             open             ----
/change-password                     open             open             open             open
/dashboard                           open             open             open             open
/dashboard/attendance                open             open             open             open
/dashboard/chat                      open             open             open             open
/dashboard/leave                     open             open             open             open
/dashboard/tasks                     open             open             open             open
/dashboard/timesheet                 open             open             open             open
/my-profile                          open             open             open             open
/platform                            ----             ----             ----             ----
/platform/active-users               ----             ----             ----             ----
/platform/activity                   ----             ----             ----             ----
/platform/campaigns                  ----             ----             ----             ----
/platform/customers                  ----             ----             ----             ----
/platform/finance                    ----             ----             ----             ----
/platform/invite-agency              ----             ----             ----             ----
/platform/invite-operator            ----             ----             ----             ----
/platform/permissions                ----             ----             ----             ----
/platform/plans                      ----             ----             ----             ----
/platform/settings                   ----             ----             ----             ----
